 YEAR     1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28      29      30      31      32      33      34      35      36      37      38      39      40      41      42      43      44      45      46      47      48      49      50      51      52      53      54      55      56      57      58      59      60      61      62      63      64      65      66      67      68      69      70      71      72      73      74      75      76      77      78      79      80      81      82      83      84      85      86      87      88      89      90      91      92      93      94      95      96      97      98      99     100     101     102     103     104     105     106     107     108     109     110     111     112     113     114     115     116     117     118     119     120     121     122     123     124     125     126     127     128     129     130     131     132     133     134     135     136     137     138     139     140     141     142     143     144     145     146     147     148     149     150     151     152     153     154     155     156     157     158     159     160     161     162     163     164     165     166     167     168     169     170     171     172     173     174     175     176     177     178     179     180     181     182     183     184     185     186     187     188     189     190     191     192     193     194     195     196     197     198     199     200     201     202     203     204     205     206     207     208     209     210     211     212     213     214     215     216     217     218     219     220     221     222     223     224     225     226     227     228     229     230     231     232     233     234     235     236     237     238     239     240     241     242     243     244     245     246     247     248     249     250     251     252     253     254     255     256     257     258     259     260     261     262     263     264     265     266     267     268     269     270     271     272     273     274     275     276     277     278     279     280     281     282     283     284     285     286
 1900  -0.122  -0.158  -0.163  -0.160  -0.235  -0.183  -0.080  -0.303  -0.206   0.061   0.470   2.991  -0.288  -0.180   0.096   1.242   2.219   2.714  -0.253  -0.119   0.501   1.155   2.636   2.442   1.845  -0.161   0.107   1.466   1.173   1.759   2.429   2.109   1.533   0.681   0.160  -1.053  -0.071   0.108   1.182   1.165   1.183   1.907   1.452   1.163  -0.224  -1.377  -2.304  -1.900   0.008   0.182   0.986   1.030   0.914   0.850   0.726  -1.019  -4.320  -1.931  -2.490  -1.846  -1.905   0.090   0.265   1.831   1.256   1.385   0.985   1.270  -2.792  -5.268  -2.824  -1.988  -1.336  -1.352  -1.244  -2.850   0.149   0.571   1.597   1.851   1.864   1.633   0.844  -3.552  -5.020  -3.829  -2.189  -1.231  -1.317  -2.247  -3.619  -1.520   0.134   0.799   1.405   1.505   1.585   1.880   0.672  -2.944  -3.374  -2.446  -1.759  -0.853  -1.019  -2.140  -1.514  -0.362   1.584   1.391   1.275   1.326   1.276  -0.639  -1.692  -2.210  -1.873  -1.273   0.461   1.179  -1.042  -2.068  -1.799   1.790   1.326   1.220   0.907  -3.118  -3.495  -1.309  -0.490  -0.199   3.003   2.718   2.327   1.415   3.428   0.355  -2.867   1.511   0.758  -0.102  -5.323  -5.467  -2.176  -0.020   3.669   3.629   3.399   2.123   1.494   0.939   0.636  -3.233  -3.104   1.537  -0.043  -0.078  -2.869  -2.726  -1.030   0.251   2.662   2.305   2.650   2.192   2.288   0.198   0.144  -2.499  -2.533  -0.071  -0.736  -2.024  -1.543  -0.605  -0.363   1.090   1.190   2.205   2.282   2.638   0.681   0.617  -2.542  -2.848  -1.185  -2.028  -1.500  -0.650  -0.210   0.230   0.429   1.341   2.010   0.022  -1.078  -1.142  -0.835  -0.353   0.045   1.134   1.784   2.430  -0.081  -0.615  -0.777  -0.785  -0.109   0.852   1.975   2.538   2.135  -0.330   0.440   0.146  -0.103  -0.011   0.720   1.921   2.751   2.782  -0.377   1.323   1.494  -0.286  -0.688  -0.120   1.065   1.761   2.317  -0.579   0.890   1.126  -1.099  -1.267  -0.840   0.513   0.990   1.646   2.067   1.054   0.925   0.315  -1.828  -1.870  -0.899   0.090   0.383   1.924  -0.552   0.701  -0.228  -1.571  -1.590  -1.112  -0.671   0.268   0.381   0.164  -1.065  -1.560  -1.498  -0.712  -0.869   0.303  -0.301  -0.776  -0.790   0.302   0.876  -0.424   0.019   0.492  -0.233  -0.015   0.045  -1.061  -0.227  -0.093  -0.787  -0.686  -0.407  -0.713  -0.688  -0.535
 1901  -2.053  -2.647  -2.200  -2.707  -2.355  -2.567  -2.603  -2.282  -2.625  -2.600  -1.429  -1.202  -1.837  -2.568  -2.327  -1.290  -1.050   0.636  -1.456  -2.151  -2.135  -1.743  -0.132   1.103   1.414  -1.017  -1.626  -0.920  -1.191  -0.709   1.152   1.455   1.439   1.048   1.554   2.310  -0.421  -0.662  -0.996  -1.112  -0.761   0.177   1.261   1.631   1.602   1.336   1.571   1.224   0.075   0.121  -1.122  -1.010  -0.788   0.646   1.061   0.525  -0.105   1.105   1.433   0.790  -0.595   0.303   0.491   0.068  -0.821  -0.196   1.250   1.896  -0.374  -2.025  -0.341  -0.246  -0.891  -0.865  -0.674  -0.675   0.248   0.622   1.156   0.645   0.837   1.603   1.646  -0.086  -1.146  -0.749  -0.579  -0.703  -1.095  -0.915   0.128  -0.247   0.128   0.741   1.401   1.447   1.664   2.294   1.410   0.240  -1.189  -1.584  -1.742  -0.893  -0.961  -2.041  -2.386  -0.123  -0.894   1.443   1.662   1.962   2.340   0.573  -0.222  -0.833  -2.341  -2.247  -0.951  -0.638  -2.272  -2.623  -2.998  -0.983   1.888   2.414   3.032  -0.960  -1.660  -0.950  -2.006  -2.011  -0.639  -0.301  -0.157  -2.529  -0.769  -2.845  -2.377   1.682   2.150   2.712  -0.826  -0.647  -0.890  -1.796  -2.324  -1.105  -0.563  -0.329  -1.891  -1.819  -3.235  -3.875  -4.032   1.835   2.587   3.154   1.147   0.255  -0.995  -1.835  -2.553  -1.743  -2.201  -2.407  -2.454  -4.198  -2.743  -2.738  -2.890   2.717   2.427   1.067   0.364  -1.488  -1.523  -2.740  -2.748  -2.485  -2.426  -2.377  -4.015  -2.662  -2.868  -3.144   1.576   0.665   0.274  -1.734  -2.087  -2.902  -2.900  -2.549  -2.399  -0.913  -0.348  -0.527  -2.078  -2.635  -3.073  -2.790  -2.591  -0.425  -0.773  -0.347  -1.554  -2.334  -3.231  -3.630  -2.215  -1.504  -0.316  -0.987   0.108  -0.994  -1.686  -2.724  -2.540  -1.275   0.002   0.261  -1.453   1.453   1.709  -1.485  -1.863  -1.026   0.675   1.576   2.406  -1.921   1.337   1.760  -0.766  -0.764   1.173   2.277   2.694   2.533   2.276   0.553   1.227   1.623   0.347   0.841   1.970   2.813   3.560   2.448  -1.307   1.021   1.601   0.734   1.024   1.725   2.244   0.606   1.718   2.109   0.804   0.540   0.786   0.256   0.260   1.575   0.759  -0.384  -0.294   0.888   1.348  -0.729  -0.696  -0.482  -0.665  -2.173  -2.479  -2.108  -2.103  -2.199  -1.484  -1.426  -1.657  -1.177  -1.294  -1.249
 1902  -0.945  -1.219  -1.060  -1.397  -1.216  -1.464  -1.751  -1.206  -1.568  -1.757  -0.980   0.066  -0.934  -1.425  -1.445  -0.428   0.109   2.034  -0.682  -1.012  -0.953  -0.727   0.786   1.751   1.844  -0.375  -0.520  -0.003  -0.394   0.115   2.060   2.001   1.914   1.425   0.495   0.083  -0.031  -0.019  -0.101  -0.166   0.042   1.265   2.504   1.961   0.830  -0.950  -0.847  -1.390   0.246   0.413  -0.247  -0.035   0.350   2.212   3.541   2.456  -0.339  -2.508  -2.405  -2.588  -2.206   0.390   0.632   1.027   0.071   0.584   1.894   3.085   1.206  -0.410  -2.510  -2.605  -2.861  -2.220  -2.418  -1.984   0.378   0.877   1.630   0.903   0.903   1.264   2.437   0.738  -1.118  -2.433  -2.515  -2.175  -2.393  -2.468  -1.112   0.491   0.254   1.013   1.678   1.283   1.299   0.985   0.140  -1.454  -1.670  -2.461  -2.269  -1.673  -1.846  -3.035  -2.417   0.813  -2.076   1.649   1.373   1.545   0.972  -0.845  -2.221  -2.334  -2.755  -2.342  -1.067  -0.839  -2.340  -3.197  -3.498  -2.387   1.574   1.855   1.912  -1.192  -1.786  -1.513  -2.574  -2.382  -0.807  -0.442   0.650  -2.848  -2.591  -3.739  -0.053   1.574   1.434   1.639   0.755   1.004  -0.203  -0.536  -2.445  -1.345  -1.123   1.020  -2.503  -3.277  -4.594  -1.613  -2.622   1.692   1.296   1.565   2.072   2.249   1.778   1.938  -0.137  -1.395  -2.775  -3.068  -3.481  -5.704  -3.961  -0.520  -0.793   1.069   1.148   1.392   1.836   1.664   2.265  -0.025  -1.047  -2.469  -2.782  -4.016  -5.484  -4.760  -0.662  -0.607   0.618   0.750   1.554   1.490   1.829   0.118  -0.302  -1.539  -2.233  -1.238  -0.507   1.228   1.196   0.757  -0.423  -1.014  -1.234  -2.565  -1.200  -0.347   1.303   1.174  -0.427  -1.699  -2.316  -2.645  -2.946  -1.086   0.106   1.292   1.024  -1.077  -2.072  -3.116  -3.013  -2.990  -0.170   0.739   0.935   1.073   0.048  -1.362  -2.081  -2.051  -2.214   0.599   0.802   1.065   0.973   0.383  -0.836  -1.453  -1.454  -1.767  -1.255   0.990   1.149   1.256   1.506   0.721  -0.164  -1.462  -1.838  -1.135   0.736   1.785   1.783   1.628   0.681  -0.037  -1.415   1.548   2.232   2.382   1.907   0.939   0.156   2.249   2.738   2.250   1.675   2.327   2.872   2.086   1.735   2.736   2.806   2.486   2.675   0.738   0.531  -0.388  -0.399  -0.544  -2.076  -1.797  -1.163  -2.652  -2.552  -1.826
 1903  -0.578  -0.746  -0.624  -0.675  -0.690  -0.598  -0.443  -0.725  -0.609  -0.384  -0.218   0.625  -0.645  -0.629  -0.323  -0.462   0.300   1.197  -0.614  -0.650  -0.231  -0.537   0.417   1.498   1.466  -0.581  -0.602   0.072  -0.245   0.161   2.041   1.819   1.114  -0.331  -0.281  -0.267  -0.486  -0.550  -0.087  -0.159   0.221   1.450   1.366   0.314  -0.884  -0.599   0.049   0.499  -0.370  -0.383  -0.140  -0.044   0.316   1.737   1.983   0.898  -0.231  -1.155  -0.232  -0.150  -0.010  -0.239  -0.180   0.447   0.251   0.484   1.259   1.923   1.085   0.668  -0.940  -0.636  -0.963  -0.977  -0.979  -2.149  -0.157   0.061   0.940   1.112   0.901   0.726   1.040   0.807   0.391  -0.357  -0.706  -0.638  -0.968  -1.595  -2.671   1.784  -0.084   0.400   1.040   1.272   1.208   0.384  -0.748  -0.922   0.133   0.684   0.653   0.239  -0.361  -0.328   0.407   2.674  -2.060   1.059   1.174   1.310   0.224  -1.816  -2.427  -0.691   1.376   1.613   1.270   0.959   0.493  -0.690  -0.221  -1.316   1.106   1.481   1.399  -1.784  -2.328   1.259   1.987   1.764   1.509   1.125   0.809   0.132  -0.759  -1.423   0.399   1.120   0.827   0.373  -1.582  -0.329   1.656   2.815   2.214   0.757   0.449  -0.126   2.691  -1.201  -0.773   0.598   0.116   1.062  -0.035  -0.056   0.025   1.178   3.541   4.053   2.770   0.550   1.437   3.432   3.492   0.326  -0.334   0.196   0.110  -1.031  -1.008  -0.356   1.397   3.475   4.508   2.119   1.278   2.044   3.530   3.835   3.299  -0.015   0.286   0.298  -0.930   0.103   1.570   2.978   3.379   1.998   1.712   1.866   3.007  -1.444   0.105   1.969   2.409   2.108   1.579   0.916   1.027  -0.543  -1.508   0.401   2.067   1.924   1.097   0.684   0.448   0.062  -0.621  -1.619   0.201   1.908   1.469   0.452   0.300   0.372   0.401   0.201  -1.516   0.115   0.727   1.101   0.692   0.379   0.942   1.237   1.252  -1.443  -0.279   0.252   1.170   1.148   0.842   1.259   1.713   1.610   1.019  -0.474  -0.152   0.923   1.648   1.628   1.233   1.383   1.852   1.214  -0.945  -0.035   1.687   2.330   2.291   2.040   1.339  -0.148   0.679   1.637   2.332   2.478   2.157   0.710   0.922   0.974   2.256   1.500   1.731   1.027   0.956   2.204   1.920   0.906   2.290   0.333  -0.097   3.199   0.177  -0.548   2.375   1.835  -0.010   2.193   1.791   0.634
 1904   0.088   0.114  -0.015  -0.215  -0.185  -0.515  -1.122  -0.120  -0.650  -1.445  -1.607  -1.455   0.126  -0.409  -1.073  -2.328  -1.543  -0.111   0.435   0.096  -0.929  -2.588  -1.029   0.257   0.875   0.793   0.495  -1.516  -1.960  -1.583   0.351   0.738   0.974   0.945   0.250  -0.366   1.054   0.990  -1.591  -1.964  -1.677  -0.758   1.159   1.746   0.864  -0.396  -0.751  -0.863   1.218   1.514  -1.568  -1.965  -1.801  -0.665   0.559   1.131   0.275  -1.419  -1.366  -1.618  -1.205   1.249   1.701   0.915  -1.593  -1.491  -0.991  -1.077   0.083   0.395  -0.560  -1.114  -0.866  -0.781  -0.453  -1.652   1.126   1.928   2.236   0.308  -0.535  -1.132  -1.223   0.055   0.649   0.124  -1.264  -1.055  -1.080  -1.252  -1.566   0.783   0.761   1.844   2.354   1.133   0.766  -0.717  -1.285  -0.462   0.069  -1.333  -1.944  -1.258  -1.127  -1.769  -1.203   1.112  -2.559   2.140   1.187   1.115  -0.347  -1.518  -1.100  -0.664  -1.685  -1.932  -1.943  -1.721  -1.655  -1.648  -2.029  -2.496   1.194   1.328   1.392  -0.205  -0.633  -0.649  -1.182  -1.911  -2.078  -1.822  -0.809  -1.274  -2.126  -2.247   2.830   0.793   1.082   1.436   0.551   0.576   0.446   0.465  -0.350  -1.479  -1.326  -0.841  -0.065  -2.098  -2.303   2.834   1.324   0.839   1.498   1.765   1.902   1.510   1.587   2.035   1.101  -0.824  -1.140  -0.736  -0.508  -2.735  -2.118   3.288   2.966   1.397   1.338   1.191   1.447   2.264   2.909   2.081   0.200  -0.547  -0.689  -0.723  -1.839  -3.270   3.005   3.533   0.797   1.289   1.309   2.208   2.856   2.625   1.435   0.081  -0.384  -0.965  -0.167   0.670   1.681   2.193   2.919   1.167   0.220  -1.544  -1.269   0.034   0.732   1.042   1.176   0.985  -0.662  -1.466  -1.837  -1.871  -0.262   0.766   0.707   0.036  -0.350  -1.670  -2.510  -2.704  -1.931   0.126   0.677   0.354  -0.348  -1.044  -1.940  -2.317  -2.184  -1.878  -0.082   0.543   0.818   0.165  -0.849  -1.562  -2.054  -1.657   0.571  -0.758  -0.244   1.102   1.442   0.547  -0.288  -1.281  -1.764   0.197  -1.389  -0.237   1.647   1.355   0.242  -0.195  -0.579  -0.700  -0.197   0.874   0.672   0.148  -0.260  -0.902  -1.129  -0.029   0.403  -0.640  -0.791  -0.237  -0.002  -0.351  -0.308  -0.223  -0.140  -0.416  -0.487  -0.959  -0.696  -0.691  -0.985  -0.919  -0.873  -1.010  -1.075  -1.025
 1905   1.831   2.362   1.787   1.860   1.693   1.293   0.305   1.882   1.231  -0.190  -1.177  -0.815   2.055   1.602   0.036  -2.343  -1.192  -0.016   2.503   2.252  -0.123  -3.313  -1.578  -0.018   0.883   3.048   2.650  -2.375  -3.216  -2.672  -0.268   0.648   0.087  -0.975   0.173   1.342   3.281   3.303  -2.485  -3.253  -2.690  -2.003  -0.616  -0.274  -1.140  -0.305   1.208   2.480   3.329   3.902  -2.363  -2.806  -2.416  -1.728  -1.172  -0.858  -1.929  -1.858  -1.285   2.221   4.577   3.037   3.725   0.583  -2.481  -2.182  -1.792  -2.063  -0.977  -0.942  -0.945   0.829   6.340   4.834   6.618   5.319   2.553   3.484   1.661  -1.438  -1.828  -1.877  -1.667  -0.909  -0.752  -0.474   1.155   4.616   5.399   6.290   4.960   5.482   1.650   2.438   1.739  -0.573  -0.763  -1.608  -1.111  -0.668   0.132   0.774   2.873   4.978   4.884   7.140   4.599   4.760  -4.530   1.438  -0.103  -0.048  -1.171  -0.777  -0.416   1.031   1.239   1.978   4.617   4.795   7.122   5.933   4.732  -3.338   0.106   0.510   0.729   0.695   0.810   2.906   2.743   2.262   5.324   5.118   4.021   1.877  -5.533  -3.076   2.728  -0.583   0.775   1.494   2.210   3.124   4.375   4.642   5.364   4.420   4.077   3.382   2.895  -3.032  -3.263   0.857   1.775  -0.429   1.742   2.239   3.052   3.271   4.815   4.770   4.534   2.865   2.509   2.910   2.253  -1.500  -1.786   1.466   1.126   2.332   2.649   3.292   2.975   2.726   3.012   2.287   2.156   2.145   2.412   1.550   0.676  -2.056   1.267   1.503   2.971   3.751   2.676   1.549   1.391   1.596   2.315   2.789   2.915   0.631   2.970   2.331   1.279   0.696   0.962   2.425   3.000   1.581   0.482   2.443   2.223   1.326   0.272   0.687   1.328   1.539   0.336   0.154   1.829   2.322   1.741  -0.106  -0.279  -0.084  -0.428  -0.870  -0.005   0.527   0.767   0.626   0.076  -0.441  -0.695  -1.115  -1.400  -0.260  -0.254  -0.110   0.298   0.332  -0.208  -0.841  -1.392  -1.530  -0.287  -0.117  -0.151   0.101   0.277   0.670   0.542  -0.287  -0.683  -0.380  -0.292  -0.243   0.586   0.530   0.800   0.800   0.533  -0.753  -0.639   0.347   0.408   0.637   0.907  -2.036  -2.294  -0.762  -0.549  -1.746  -2.003  -1.410  -0.750  -1.345  -1.805  -2.662  -1.050  -1.303  -1.587  -0.272  -0.588  -0.683   0.324   0.238  -0.001   0.616   0.549   0.300
 1906   1.778   2.294   1.791   2.029   1.793   1.674   1.214   1.929   1.700   0.840   0.045   1.168   1.944   1.852   0.779  -0.892   0.430   1.203   2.204   2.082   0.220  -2.092  -0.624   0.375   1.124   2.533   2.118  -2.245  -2.861  -2.227  -0.584   0.475   0.845   3.147   4.880   5.597   2.629   2.514  -2.539  -3.219  -2.494  -1.700   0.980   2.930   5.070   3.956   5.543   5.494   2.614   3.004  -2.511  -2.891  -2.449  -1.433   0.255   2.148   3.413   3.316   3.995   5.065   4.112   2.358   2.888  -0.088  -2.649  -2.328  -1.541  -1.504   1.560   3.388   3.158   2.832   4.082   2.986   4.666   3.074   1.976   2.697   1.031  -1.787  -2.318  -1.905  -1.008   0.964   2.663   3.313   2.983   3.092   3.058   3.350   3.068   2.978   1.278   1.927   1.272  -1.185  -1.519  -1.372  -0.258   1.208   2.373   2.773   3.671   3.282   2.870   2.984   1.315   2.781  -2.103   1.100  -0.788  -0.816   0.367   1.165   1.698   1.939   2.132   2.774   3.254   3.029   3.179   1.689   1.737  -1.246  -0.556  -0.394   0.602   2.742   3.174   2.531   2.532   2.747   4.002   3.660   2.921   0.786  -1.803  -1.117   0.623  -0.976   0.043   1.497   3.780   3.489   2.412   2.475   3.553   3.476   3.001   2.619   0.751  -0.998  -1.078   0.303  -0.606  -0.841   0.717   0.916   2.661   2.595   2.434   2.747   3.235   2.837   1.702   0.857   0.162  -0.453  -0.531   0.120   0.006   1.399   1.748   3.035   2.697   1.790   1.763   2.352   2.242   1.047   0.279  -0.613   0.049  -0.411   0.341   0.443   2.201   3.254   2.224   1.257   1.060   1.629   1.896   0.855  -0.081   1.528   2.409   1.541   0.752   0.346   0.476   1.050   0.713  -1.251   1.463   1.865   0.913   0.215  -0.585  -0.358  -0.228  -0.688  -1.485   0.849   0.139  -0.174  -0.331  -0.823  -0.946  -0.450  -0.751  -1.061  -0.690  -2.379  -2.610  -1.008  -0.604  -0.684   0.268   0.579   1.128  -1.881  -2.302  -2.427  -0.749  -0.275   0.008   1.086   1.584   1.820   2.596  -2.528  -2.538  -1.487  -0.500   0.317   0.952   1.836   2.701   2.613  -2.003  -2.483  -0.715   0.216   1.579   1.897   1.711  -2.553  -2.206  -0.838   0.780   2.073   2.248  -2.622  -3.002  -0.849   1.490  -1.861  -2.068  -0.067   0.922  -1.403  -1.276  -0.736  -1.102   0.598   0.706  -1.190   1.422   2.104  -1.318  -0.648   1.795  -1.475  -0.554   1.016
 1907   0.275   0.356   0.250   0.339   0.183   0.270   0.249   0.092   0.221   0.218  -0.248   0.570   0.052   0.269   0.391  -0.295   0.267   0.856   0.058   0.258   0.602   0.063   0.499   0.737   0.968   0.113   0.374   0.378   0.319   0.265   0.963   0.554   1.749   4.284   4.612   4.429   0.139   0.266   0.193   0.179   0.245   1.302   3.362   3.864   5.243   2.970   4.110   3.447   0.167   0.377   0.157  -0.171  -0.029   1.996   3.727   4.568   4.456   2.629   3.444   3.469   2.151   0.246   0.529   1.522  -0.012   0.024   1.553   2.265   3.606   4.145   3.057   2.054   2.696   1.865   2.874   3.002   0.319   0.960   2.226   1.172   0.389   0.777   2.730   3.742   3.935   4.258   2.893   2.574   2.084   2.905   3.509   2.255   0.263   1.309   2.251   1.275   0.829   1.195   2.376   3.790   3.339   3.442   3.957   2.750   2.336   1.683   0.261   1.782  -2.498   2.084   0.866   0.817   2.314   2.912   3.431   2.537   2.873   3.282   2.604   1.692   1.037   0.326  -0.001  -2.263   0.701   0.828   1.651   3.925   4.101   1.687   1.879   3.033   2.290   1.425   0.088  -1.881  -3.333  -2.464   1.484   0.571   1.016   2.078   3.839   3.649   2.184   1.916   1.943   2.094   0.497  -0.037  -1.442  -2.397  -3.067  -0.183  -0.857   0.567   1.346   1.580   2.614   2.472   1.843   2.177   2.049   1.519  -0.342  -1.916  -2.249  -3.013  -2.216   0.744   0.344   1.891   1.897   2.308   2.390   1.929   2.290   1.940   0.842  -0.321  -1.660  -2.410  -2.953  -2.653   0.513   0.751   1.314   2.014   1.900   1.893   1.902   1.486   0.714   0.188  -0.882   0.526   1.095   1.377   1.726   1.863   1.514   0.771   0.451   0.511   0.594   0.773   1.394   1.810   2.419   2.297   1.224   0.790   0.334   0.214   0.224   1.095   1.327   2.111   1.855   0.989   0.519   0.567  -0.622  -0.252   0.103   1.544   2.283   2.072   0.812  -0.058  -1.009  -1.381  -0.781  -0.480   1.212   2.085   2.283   0.571  -0.059  -1.119  -3.297  -1.367  -1.447  -0.763   0.085   1.953   2.201   0.820   0.078  -3.043  -1.283  -1.619  -1.001  -0.115   1.715   2.243   1.508  -0.880  -0.725  -0.941  -0.192   1.197   1.980   0.511   0.610  -0.284  -0.274   1.102   1.265   0.012  -0.420   1.507   1.452   1.167   1.609   1.896   2.010   1.924   1.934   1.979   1.659   1.473   1.503   1.310   1.271   1.146
 1908   0.247   0.320   0.228   0.260   0.163   0.148   0.254  -0.016   0.035   0.578   0.804   1.706  -0.121   0.125   0.705   1.594   1.524   1.522  -0.192   0.156   1.459   1.877   1.482   1.531   1.563  -0.167   0.405   2.024   1.602   1.112   0.775   0.916   0.881   0.065  -0.396  -0.406  -0.169   0.168   1.591   1.377   0.585  -0.097  -0.702  -0.580  -0.431  -0.490  -0.401  -0.411  -0.156   0.129   1.298   0.689   0.401   0.474   0.402  -0.029   0.099   0.485   0.415   0.059  -0.339  -0.079   0.194   2.154   0.484   0.272   1.009   1.023   1.367   1.522   1.015   1.057   0.793   0.306   0.327   1.219   0.055   0.744   2.399   1.251   0.392   0.966   3.373   2.339   1.830   1.298   1.680   1.218   0.745   0.954   1.629   1.729   0.094   1.237   2.348   1.205   0.596   0.854   2.465   3.270   2.077   1.151   2.134   1.633   1.312   0.414  -0.161   1.519  -2.909   2.366   1.030   0.819   1.588   2.431   3.220   1.528   0.038   0.292   1.402   1.163   0.622   0.009  -1.144  -2.943   1.332   1.060   1.106   2.732   3.467   0.649  -0.017   0.349   1.224   1.406   1.686  -0.790  -4.047  -3.532   1.782   1.921   1.131   1.356   2.764   2.621   1.101   0.143  -0.671   0.958   1.567   1.980  -0.530  -3.507  -4.304  -1.070  -1.411   2.017   0.918   1.018   1.864   1.915   1.709   1.834   2.179   2.402   1.813  -0.128  -1.049  -4.312  -3.349   1.173   0.466   1.333   1.262   1.879   2.338   2.699   3.150   3.925   2.703   1.871   0.272  -1.745  -3.589  -4.155   0.779   1.173   1.267   2.204   2.275   2.857   3.354   3.600   2.754   2.101   0.799   0.290   1.709   2.263   2.593   2.813   2.759   1.852   1.377   1.412   0.372   1.433   1.930   1.946   2.083   1.498   1.039   0.931   0.673  -0.093   0.521   1.497   1.364   1.291   0.735   0.305   0.097   0.326  -1.106  -0.260   0.257   0.938   1.124   0.682   0.162  -0.516  -1.783  -1.918  -0.734  -0.167   0.761   1.240   1.099   0.353  -0.643  -1.571  -2.494  -1.619  -1.394  -0.168   0.551   1.607   1.850   1.015   0.263  -2.551  -1.746  -1.624  -0.026   0.786   1.652   1.997   1.400  -1.387  -0.772  -0.244   0.600   1.195   1.789  -0.498  -0.558  -0.415   0.094   0.077   0.040  -0.666  -0.789   0.315   0.001  -0.660   0.241   0.630   0.619  -0.391   0.731   1.023  -0.697  -0.412   0.683  -0.711  -0.412   0.021
 1909   1.454   1.876   1.477   1.743   1.482   1.509   1.356   1.482   1.485   1.106   0.388   1.198   1.371   1.488   0.992  -0.276   0.604   1.036   1.470   1.474   0.556  -0.862  -0.174   0.224   0.617   1.614   1.398  -0.934  -1.293  -1.036  -0.913  -0.268  -0.917  -1.090  -0.524  -0.125   1.600   1.502  -1.240  -1.676  -1.424  -1.436  -1.357  -1.159  -1.286  -0.135   0.169   1.106   1.551   1.876  -1.236  -1.638  -1.356  -0.353  -0.272   0.042  -0.075   0.781   0.671   2.359   3.241   1.487   2.010   0.884  -1.187  -1.026   0.587   0.344   1.576   1.727   2.073   1.965   3.015   2.093   3.364   1.962   1.367   2.294   2.277   0.317  -0.338   0.980   2.325   2.367   2.506   2.905   2.344   1.965   1.881   2.297   2.287  -0.419   0.955   2.238   2.655   0.829   0.622   2.037   2.400   2.908   2.316   2.300   1.744   0.365   0.285  -1.816  -2.962  -1.092  -3.398   2.562   1.016   1.266   3.138   3.058   2.902   2.013   1.473   1.042  -0.421  -0.926  -1.900  -1.933  -4.201  -3.739   1.226   1.903   3.287   4.113   4.005   2.702   2.076   0.017  -1.639  -1.659  -0.390  -1.661  -4.080  -4.915  -1.269   0.987   1.443   2.669   3.816   3.408   2.679   2.117   0.813  -1.936  -1.937  -0.203  -2.181  -4.105  -5.453  -5.240  -4.973   1.052   1.293   1.525   2.625   2.376   2.365   2.014   0.690  -1.630  -2.789  -3.005  -2.935  -6.278  -4.639  -1.712  -2.958   0.961   1.017   1.242   1.718   1.673   1.912  -0.129  -1.621  -2.873  -3.210  -3.790  -5.361  -5.756  -2.573  -2.225   0.271   0.648   1.349   2.023   2.176   0.459  -0.958  -1.920  -2.623  -1.341  -0.362   0.959   1.421   1.769   1.023   0.090  -0.590   0.739  -1.501  -0.674   0.376   0.889   1.508   1.149   1.312   1.014   0.638  -2.114  -1.255   0.272   0.419   1.579   1.677   1.760   1.456   1.328  -2.517  -0.647   0.147   1.359   1.810   2.163   1.656   0.851  -0.151  -2.680  -0.648   0.227   0.918   1.501   2.102   1.261  -0.065  -0.138   1.719  -1.506  -1.114   0.175   0.035   0.458   1.350   0.787   0.540   0.908  -2.179  -1.278   0.157  -0.472  -0.269   0.368   0.554  -0.825   0.042   0.245  -0.774  -0.590   0.007   0.021   0.018   0.033  -1.101   0.507   0.573  -0.501  -0.700   0.856   0.576  -0.103   1.002   0.660   0.579   0.878   0.741   0.713   0.735   0.685   0.667   0.612   0.664   0.548
